station_key,station_name,waqi_uid,latitude,longitude,seed_city,seed_country,source,last_updated
itijahangirpuridelhidelhiindia,"ITI Jahangirpuri, Delhi, Delhi, India",10113,28.733016,77.17197,Delhi,IN,waqi_search,2026-03-25T18:33:38.155216
itisarginenapolicampaniaitaly,"I.t.i.s. Argine, Napoli, Campania, Italy",10940,40.86427,14.34108,Naples,IT,waqi_search,2026-03-25T18:32:41.048502
itishahdrajhilmilindustrialareadelhidelhiindia,"ITI Shahdra, Jhilmil Industrial Area, Delhi, Delhi, India",10118,28.672114,77.313832,Delhi,IN,waqi_search,2026-03-25T18:33:38.155216
itodelhidelhiindia,"ITO, Delhi, Delhi, India",3715,28.628577,77.241036,Delhi,IN,waqi_search,2026-03-25T18:33:38.155216
izmiralsancakturkey,"Izmir (Alsancak), Turkey",4070,38.432222,27.144444,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
izmirbayrakliturkey,"Izmir (Bayrakli), Turkey",4071,38.462222,27.166667,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
izmirguzelyaliturkey,"Izmir (Guzelyali), Turkey",4075,38.395833,27.082778,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
izmirkarsiyakaturkey,"Izmir (Karsiyaka), Turkey",4076,38.455845,27.109213,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
izmirsirinyerturkey,"Izmir (Sirinyer), Turkey",4077,38.3825,27.148333,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
janvangalenstraatamsterdam,"Jan van Galenstraat, Amsterdam",7934,52.374786,4.860319,Amsterdam,NL,waqi_search,2026-03-25T18:33:13.905205
jawaharlalnehrustadiumdelhidelhiindia,"Jawaharlal Nehru Stadium, Delhi, Delhi, India",10705,28.582846,77.234366,Delhi,IN,waqi_search,2026-03-25T18:33:38.155216
jayanagar5thblockbengaluruindia,"Jayanagar 5th Block, Bengaluru, India",11276,12.920984,77.584908,Bengaluru,IN,waqi_search,2026-03-25T18:33:42.568672
johanneskirchenmunchengermany,"Johanneskirchen, München, Germany",6041,48.169444,11.65,Munich,DE,waqi_search,2026-03-25T18:32:14.506121
jongnoguseoulsouthkorea,"Jongno-gu, Seoul, South Korea (종로구 서울)",1689,37.572025,127.005028,Seoul,KR,waqi_search,2026-03-25T18:33:46.957246
jongroseoulsouthkorea,"Jongro, Seoul, South Korea (종로 서울)",4487,37.570633,126.996783,Seoul,KR,waqi_search,2026-03-25T18:33:46.957246
jungguseoulsouthkorea,"Jung-gu, Seoul, South Korea (중구 서울)",1690,37.564639,126.975961,Seoul,KR,waqi_search,2026-03-25T18:33:46.956739
karabaglarturkey,"Karabağlar, Turkey",14923,38.38233,27.10673,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
karlmarxstraeberlingermany,"Karl-Marx-Straße, Berlin, Germany",13851,52.483812,13.429672,Berlin,DE,waqi_search,2026-03-25T18:32:12.272158
keciorenfatihterimturkey,"Keçiören Fatih Terim, Turkey",12524,39.99922,32.85564,Ankara,TR,waqi_search,2026-03-25T18:32:03.389275
kielerstraehamburggermany,"Kieler Straße, Hamburg, Germany",10834,53.56437,9.944616,Hamburg,DE,waqi_search,2026-03-25T18:32:16.664799
klgrasbrookhafenhamburggermany,"Kl. Grasbrook, Hafen, Hamburg, Germany",10028,53.529159,9.981624,Hamburg,DE,waqi_search,2026-03-25T18:32:16.664799
komunikacyjnawarszawamazowieckiepoland,"Komunikacyjna, Warszawa, Mazowieckie, Poland",3398,52.219339,21.0047,Warsaw,PL,waqi_search,2026-03-25T18:33:07.337653
konakturkey,"Konak, Turkey",13951,38.400618,27.150843,Izmir,TR,waqi_search,2026-03-25T18:32:05.577526
kopitotosofiabulgariakopitotosofiabulgariako,"Kopitoto, Sofia, Bulgaria; Kopitoto, Sofia, Bulgaria (Koпитото, Столична)",8087,42.6310777,23.2376786,Sofia,BG,waqi_search,2026-03-25T18:33:33.789509
krakwospiastwmaopolskapoland,"Kraków, os. Piastów, Małopolska, Poland",9039,50.099361,20.018317,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
krakwosswoszowicemaopolskapoland,"Kraków, os. Swoszowice, Małopolska, Poland",14683,49.991242,19.936117,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
krakwuldietlamaopolskapoland,"Kraków-ul. Dietla, Małopolska, Poland",8689,50.057447,19.946008,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
krakwultelimenymaopolskapoland,"Kraków, ul. Telimeny, Małopolska, Poland",10042,50.0192,20.016803,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
krakwulzotyrgmaopolskapoland,"Kraków, ul. Złoty Róg, Małopolska, Poland",8691,50.081197,19.895358,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
krasnoselosofiabulgaria,"Krasno Selo, Sofia, Bulgaria",8085,42.678333,23.284444,Sofia,BG,waqi_search,2026-03-25T18:33:33.789509
kurdwanwkrakwmaopolskapoland,"Kurdwanów, Kraków, Małopolska, Poland",3407,50.010575,19.949189,Krakow,PL,waqi_search,2026-03-25T18:33:09.482839
kurlamumbaiindia,"Kurla, Mumbai, India",12454,19.0863,72.8888,Mumbai,IN,waqi_search,2026-03-25T18:33:40.378746
lambethstreathamgreenunitedkingdom,"Lambeth - Streatham Green, United Kingdom",14617,51.4282131429499,-0.13186863879576,London,GB,waqi_search,2026-03-25T18:32:56.441767
landshuteralleemunchengermany,"Landshuter Allee, München, Germany",6042,48.1552945,11.5367712,Munich,DE,waqi_search,2026-03-25T18:32:14.506121
leedsalabamausa,"Leeds, Alabama, USA",9520,33.5453,-86.5492,Leeds,GB,waqi_search,2026-03-25T18:33:03.026530
leedscentreunitedkingdom,"Leeds Centre, United Kingdom",3184,53.80378,-1.546472,Leeds,GB,waqi_search,2026-03-25T18:33:03.026530
leedsheadingleykerbsideunitedkingdom,"Leeds Headingley Kerbside, United Kingdom",3185,53.819972,-1.576361,Leeds,GB,waqi_search,2026-03-25T18:33:03.026530
leipzigerstraeberlingermany,"Leipziger Straße, Berlin, Germany",13852,52.509813,13.382377,Berlin,DE,waqi_search,2026-03-25T18:32:12.272158
lhospitaletdellobregatcatalunyaspain,"l'Hospitalet de Llobregat, Catalunya, Spain",6681,41.370504107909,2.114973081733,Barcelona,ES,waqi_search,2026-03-25T18:32:47.672590
lillefivesnordpasdecalaisfrance,"Lille Fives, Nord-Pas-de-Calais, France",6260,50.62804999999971,3.0903137581845357,Lille,FR,waqi_search,2026-03-25T18:32:29.962098
lillehammerbarnehagelillehammernorway,"Lillehammer barnehage, Lillehammer, Norway",2644,61.12087,10.46563,Lille,FR,waqi_search,2026-03-25T18:32:29.962098
lilleleedsnordpasdecalaisfrance,"Lille Leeds, Nord-Pas-de-Calais, France",10084,50.640794444443976,3.074772222222191,Lille,FR,waqi_search,2026-03-25T18:32:29.962098
lingottotorinopiemonteitaly,"Lingotto, Torino, Piemonte, Italy",9360,45.0314278,7.6517438,Turin,IT,waqi_search,2026-03-25T18:32:38.891652
london,London,5724,51.5073509,-0.1277583,London,GB,waqi_search,2026-03-25T18:32:56.440719
londonbloomsburyunitedkingdom,"London Bloomsbury, United Kingdom",3189,51.52229,-0.125889,London,GB,waqi_search,2026-03-25T18:32:56.441767
londonmaryleboneroadunitedkingdom,"London Marylebone Road, United Kingdom",3193,51.52253,-0.154611,London,GB,waqi_search,2026-03-25T18:32:56.441767
londonnkensingtonunitedkingdom,"London N. Kensington, United Kingdom",3194,51.52105,-0.213492,London,GB,waqi_search,2026-03-25T18:32:56.441767
