seed_city,seed_country,search_keyword,waqi_uid,aqi,station_name,latitude,longitude
Milan,Italy,milan,11437,12,"milan; East Syracuse, New York, USA",43.052351,-76.059185
Milan,Italy,milan,10803,-,"milandadeebeulo; Miranda de Ebro II, Burgos, Spain",42.688055550005,-2.9405555502216
Milan,Italy,milan,11808,-,"milandadeebeulo; Miranda de Ebro I, Burgos, Spain",42.684444439738,-2.9175000000954
Milan,Italy,milan,9128,-,"Monza Machiavelli, Lombardia, Italy",45.574117,9.263808
Milan,Italy,milan,9119,-,"Saronno Santuario, Lombardia, Italy",45.626104,9.025004
Milan,Italy,milan,2589,68,"Port Dickson, Negeri Sembilan, Malaysia",2.441383,101.866858
Milan,Italy,milan,196,51,"Odessa Gonzales, Midland, Texas",31.8702534,-102.3347563
Milan,Italy,milan,2588,65,"Nilai, Negeri Sembilan, Malaysia",2.821692,101.811486
Milan,Italy,milan,3313,70,"Nezahualcóyotl, México, Mexico",19.393734,-99.028212
Milan,Italy,milan,11773,69,"Santiago Acahualtepec, México, Mexico",19.34561,-99.009381
Milan,Italy,milan,8529,46,"Estación de Monitoreo Cuernavaca Centro, Morelos, Mexico",18.90861,-99.21167
Milan,Italy,milan,8606,-,"millan; Millau, France",44.10618169,3.072179407
Milan,Italy,milan,14122,33,"miltan; Milton, Ontario, Canada",43.52965,-79.862449
Milan,Italy,milan,12698,6,"moilana; Moheia vest, Mo i Rana, Norway",66.312191,14.149923
Milan,Italy,milan,2645,-,"moilana; Moheia, Mo i Rana, Norway",66.3111229,14.1520537
Milan,Italy,milan,10452,162,"milyang; Naeil-dong, Gyeongnam, South Korea (내일동 경남)",35.493678,128.754168
Milan,Italy,milan,5912,29,amiltan; Hamilton,43.2500208,-79.8660914
Los Angeles,United States,los angeles,243,74,Los Angeles-North Main Street,34.06653,-118.22676
Los Angeles,United States,los angeles,9606,-,"Long Beach-Route 710 Near Road, Los Angeles, California",33.859444,-118.200278
Los Angeles,United States,los angeles,245,76,"Reseda, Los Angeles",34.1992,-118.53275
