date, pm25, pm10, no2, so2
2022/4/1, 101, 62, , 
2022/4/2, 122, 30, , 
2022/4/3, 71, 18, , 
2022/4/4, 45, 34, , 
2022/4/5, 67, 32, , 
2022/4/6, 62, 31, , 
2022/4/7, 44, 35, , 
2022/4/8, 66, 15, , 
2022/4/9, 39, 12, , 
2022/4/10, 33, 24, , 
2022/4/11, 56, 29, , 
2022/4/12, 58, 29, , 
2022/4/13, 52, 33, , 
2022/4/14, 56, 32, , 
2022/4/15, 51, 17, , 
2022/4/16, 39, 14, , 
2022/4/17, 35, 13, , 
2022/4/18, 32, 25, , 5
2022/4/19, 44, 31, , 3
2022/4/20, 48, 34, , 
2022/4/21, 57, 46, , 
2022/4/22, 75, 48, , 1
2022/4/23, 90, 42, , 
2022/4/24, 85, 23, , 
2022/4/25, 48, 32, , 1
2022/4/26, 49, 45, , 3
2022/4/27, 80, 45, , 
2022/4/28, 84, 54, , 
2022/4/29, 95, 40, , 
2022/4/30, 73, 45, , 4
2022/5/1, 87, 51, , 1
2022/5/2, 99, 54, , 1
2022/5/3, 110, 50, , 1
2022/5/4, 92, 50, , 4
2022/5/5, 95, 60, , 1
2022/5/6, 119, 53, , 
2022/5/7, 103, 37, , 2
2022/5/8, 86, 45, , 2
2022/5/9, 90, 53, , 2
2022/5/10, 95, 61, , 
2022/5/11, 114, 66, , 1
2022/5/12, 127, 65, , 1
2022/5/13, 125, 58, , 2
2022/5/14, 116, 55, , 3
2022/5/15, 117, 35, , 3
2022/5/16, 61, 51, , 2
2022/5/17, 89, 52, , 
2022/5/18, 101, 46, , 
2022/5/19, 85, 42, , 
2022/5/20, 74, 32, , 
2022/5/21, 71, 40, , 3
2022/5/22, 91, 31, , 
2022/5/23, 62, 35, , 
2022/5/24, 66, 46, , 
2022/5/25, 77, 45, , 
2022/5/26, 82, 60, , 
2022/5/27, 104, 61, , 2
2022/5/28, 127, 74, , 2
2022/5/29, 137, 49, , 3
2022/5/30, 74, 48, , 
2022/5/31, 81, 60, , 18
2022/6/1, 85, 45, , 2
2022/6/2, 82, , , 
2022/6/19, 129, 56, , 1
2022/6/20, 95, 53, , 
2022/6/21, 85, 49, , 
